head_entity_text,tail_entity_text,relation
method,combination,"Component-Whole (e1, e2)"
statue,head,"Component-Whole (e1, e2)"
article,use,"Message-Topic (e1, e2)"
comments,readers,"Product-Producer (e2, e1)"
president,university,Other
wine,grapes,"Product-Producer (e2, e1)"
slide,crew,"Cause-Effect (e2, e1)"
inspector,yard,"Entity-Origin (e1, e2)"
regulations,force,Other
questions,press,"Entity-Origin (e2, e1)"
children,exile,"Entity-Destination (e1, e2)"
father,bar,"Instrument-Agency (e2, e1)"
rebound,net,"Entity-Destination (e1, e2)"
student,application,"Product-Producer (e1, e2)"
bar,seats,"Component-Whole (e1, e2)"
back,chair,"Component-Whole (e1, e2)"
fatigue,pain,"Cause-Effect (e1, e2)"
claw,hammer,"Component-Whole (e2, e1)"
magazine,sport,"Message-Topic (e1, e2)"
cartomancers,cards,"Instrument-Agency (e1, e2)"
films,mental illness,"Message-Topic (e1, e2)"
company,publication,"Product-Producer (e1, e2)"
papaya,nectar,"Product-Producer (e1, e2)"
volume,concepts,"Message-Topic (e1, e2)"
defendant,custody,"Entity-Origin (e1, e2)"
plant,vehicles,"Product-Producer (e1, e2)"
cheese,dish,"Component-Whole (e1, e2)"
castle,museum,"Content-Container (e1, e2)"
clubs,ownership,Other
man,car,"Entity-Destination (e1, e2)"
section,interpretation,Other
drawer,coffeemaker,"Component-Whole (e1, e2)"
tube,container,"Content-Container (e1, e2)"
views,television,"Message-Topic (e1, e2)"
chapter,importance,"Message-Topic (e1, e2)"
station,device,"Instrument-Agency (e2, e1)"
offenders,officers,Other
book,beauty,"Message-Topic (e1, e2)"
spills,hurricane,"Cause-Effect (e2, e1)"
studies,adults,"Message-Topic (e1, e2)"
diseases,gene mutations,"Cause-Effect (e2, e1)"
response,ripple,"Cause-Effect (e1, e2)"
tree,crown,"Component-Whole (e1, e2)"
mischief,rats,Other
cable network,science fiction TV shows,"Content-Container (e1, e2)"
cat,trap,"Content-Container (e2, e1)"
stories,dance,"Message-Topic (e1, e2)"
foundry,frames,"Product-Producer (e1, e2)"
air,smell,"Entity-Destination (e1, e2)"
joy,laughing,"Cause-Effect (e1, e2)"
lines,author,"Product-Producer (e2, e1)"
receiver,tone,"Instrument-Agency (e1, e2)"
squad,militants,"Member-Collection (e1, e2)"
telescope,lenses,"Component-Whole (e1, e2)"
pulp,tupperware tub,"Entity-Destination (e1, e2)"
Carpenters,wood,"Product-Producer (e2, e1)"
samples,milking,"Entity-Origin (e1, e2)"
blogger,conversation,"Message-Topic (e1, e2)"
speech,idea,"Message-Topic (e1, e2)"
rice,flour,"Product-Producer (e1, e2)"
body,passenger,"Content-Container (e1, e2)"
Asteroid,disaster,"Cause-Effect (e1, e2)"
farm,acres,"Component-Whole (e1, e2)"
laptop,plastic bag,"Content-Container (e2, e1)"
telephone,operator,"Instrument-Agency (e1, e2)"
tales,concerns,"Message-Topic (e1, e2)"
forebrain,amphibians,"Component-Whole (e1, e2)"
company,home,"Entity-Destination (e1, e2)"
camera,leaflet box,"Content-Container (e2, e1)"
organizations,resources,"Entity-Destination (e1, e2)"
swim bladder,animals,"Component-Whole (e1, e2)"
coffle,asses,"Member-Collection (e1, e2)"
coloring,coat of arms,"Entity-Origin (e1, e2)"
coalition,interests,"Message-Topic (e1, e2)"
electrician,tool,"Instrument-Agency (e1, e2)"
data,epochs,"Entity-Origin (e1, e2)"
city,rock and roll,"Entity-Origin (e1, e2)"
parents,station,"Entity-Destination (e1, e2)"
police,chief,"Member-Collection (e1, e2)"
Hospitals,apparatus,"Instrument-Agency (e1, e2)"
boots,box,"Content-Container (e2, e1)"
attractions,billboards,"Instrument-Agency (e1, e2)"
guy,car,"Instrument-Agency (e1, e2)"
fetus,insulin,"Product-Producer (e1, e2)"
design,wife,"Product-Producer (e2, e1)"
circle,hooligans,"Member-Collection (e1, e2)"
litter,rabbits,"Member-Collection (e1, e2)"
texts,anecdotes,"Message-Topic (e1, e2)"
documents,strategies,"Message-Topic (e1, e2)"
punchcutter,imprint,"Product-Producer (e1, e2)"
plug,battery box,"Component-Whole (e1, e2)"
visit,strategy,"Message-Topic (e1, e2)"
microbes,sickness,"Cause-Effect (e1, e2)"
implications,publication,"Entity-Origin (e1, e2)"
document,drugs,"Message-Topic (e1, e2)"
bazooka,game,Other
model,example,"Entity-Origin (e1, e2)"
Researchers,ingredients,"Product-Producer (e1, e2)"
ale,mug,"Entity-Destination (e1, e2)"
motor,canister,"Component-Whole (e1, e2)"
corps,cadets,"Member-Collection (e1, e2)"
wing,aircrafts,"Component-Whole (e1, e2)"
name,address,"Entity-Origin (e1, e2)"
Analysts,frequency,"Instrument-Agency (e1, e2)"
man,countries,"Entity-Destination (e1, e2)"
keeper,team,"Member-Collection (e1, e2)"
high-wheelers,push-bike,"Entity-Origin (e1, e2)"
line,geometry,"Component-Whole (e1, e2)"
pollution,cars,"Cause-Effect (e2, e1)"
posts,writer,"Product-Producer (e2, e1)"
Molten core,river,"Entity-Destination (e1, e2)"
lithics,mountain ranges,"Entity-Origin (e1, e2)"
analyzer,method,"Instrument-Agency (e1, e2)"
narrative,history,"Message-Topic (e1, e2)"
attributes,children,"Entity-Destination (e1, e2)"
pollen,basket,"Content-Container (e1, e2)"
nurse,arm,"Instrument-Agency (e1, e2)"
person,content,"Product-Producer (e1, e2)"
mushroom,mass,"Content-Container (e1, e2)"
squad,beaters,"Member-Collection (e1, e2)"
potatoes,basket,"Content-Container (e1, e2)"
building,engineer,"Product-Producer (e2, e1)"
thesis,book,"Content-Container (e1, e2)"
crew,breast,"Instrument-Agency (e1, e2)"
Rain,cancellation,"Cause-Effect (e1, e2)"
society,trends,"Message-Topic (e1, e2)"
roundtables,keywords,"Content-Container (e1, e2)"
website,articles,"Content-Container (e1, e2)"
theory,science fiction,"Message-Topic (e1, e2)"
clustering,clusters,"Product-Producer (e1, e2)"
cherry,wine,"Product-Producer (e1, e2)"
song,contest,"Entity-Destination (e1, e2)"
dollars,trusts,"Entity-Destination (e1, e2)"
floppies,factory,"Entity-Origin (e1, e2)"
wall,store,"Component-Whole (e1, e2)"
body,bin,"Content-Container (e1, e2)"
congressman,party ticket,"Member-Collection (e1, e2)"
sound,viper,"Product-Producer (e2, e1)"
containers,dam,"Entity-Destination (e1, e2)"
lobe,pancreas,"Component-Whole (e1, e2)"
elephant,toes,"Component-Whole (e1, e2)"
bottle,marbles,"Content-Container (e1, e2)"
staff,employees,"Member-Collection (e1, e2)"
order,friars,"Member-Collection (e1, e2)"
nails,hand,"Component-Whole (e1, e2)"
oil,seed,"Entity-Origin (e1, e2)"
samples,beaker,"Content-Container (e1, e2)"
brother,gloves,"Instrument-Agency (e1, e2)"
cane,sugar,"Product-Producer (e1, e2)"
bottle,soda,"Content-Container (e1, e2)"
money,jar,"Content-Container (e1, e2)"
banner,knights,"Member-Collection (e1, e2)"
crash,attack,"Cause-Effect (e2, e1)"
criticism,media coverage,"Message-Topic (e1, e2)"
wine,jeroboam,"Content-Container (e1, e2)"
work,end,"Entity-Origin (e1, e2)"
Debate,roles,"Message-Topic (e1, e2)"
Conditions,report,"Message-Topic (e1, e2)"
animals,farm,"Entity-Origin (e1, e2)"
sound,combination,"Component-Whole (e1, e2)"
coin,case,"Content-Container (e1, e2)"
parade,penguins,"Member-Collection (e1, e2)"
ethanol,factories,"Product-Producer (e2, e1)"
drilling,chemicals,"Cause-Effect (e1, e2)"
information,press release,"Entity-Origin (e1, e2)"
chain,islands,"Component-Whole (e1, e2)"
investigations,evidence,"Cause-Effect (e1, e2)"
damage,misuse,"Cause-Effect (e2, e1)"
fruit,seeds,"Content-Container (e1, e2)"
enjoyment,programming,"Cause-Effect (e1, e2)"
technique,combination,"Component-Whole (e1, e2)"
bones,foot,"Component-Whole (e1, e2)"
migrations,deprivation,"Cause-Effect (e1, e2)"
accident,impact,"Cause-Effect (e2, e1)"
aria,composer,"Product-Producer (e2, e1)"
contents,carafe,"Content-Container (e1, e2)"
stem,tree,"Component-Whole (e1, e2)"
time,machine,"Component-Whole (e1, e2)"
production,playwright,"Product-Producer (e2, e1)"
philosopher,writings,"Product-Producer (e2, e1)"
tableau,room,"Entity-Destination (e1, e2)"
strings,device,"Component-Whole (e1, e2)"
cases,term,"Entity-Origin (e1, e2)"
mix,pans,"Entity-Destination (e1, e2)"
lungs,ferrets,"Component-Whole (e1, e2)"
gerbil,threat,"Cause-Effect (e2, e1)"
airstrike,explosions,"Cause-Effect (e1, e2)"
keel,ship,"Component-Whole (e1, e2)"
Barrages,energy,"Instrument-Agency (e1, e2)"
protocol,implementation,"Message-Topic (e1, e2)"
conflict,wastewater,"Cause-Effect (e2, e1)"
report,commission,"Product-Producer (e2, e1)"
car,engine,"Component-Whole (e1, e2)"
driver,keys,"Entity-Destination (e2, e1)"
book,phases,"Message-Topic (e1, e2)"
spam,clients,"Entity-Destination (e1, e2)"
plum,syrup,"Component-Whole (e1, e2)"
news,statement,"Entity-Origin (e1, e2)"
damage,tornado,"Cause-Effect (e2, e1)"
friend,surfer,Other
song,hypocrisy,"Message-Topic (e1, e2)"
horse,hoof,"Component-Whole (e1, e2)"
downturn,people,"Cause-Effect (e1, e2)"
motives,trial,"Message-Topic (e1, e2)"
compeers,profession,"Member-Collection (e1, e2)"
citizen,battles,"Cause-Effect (e1, e2)"
topics,song,"Message-Topic (e1, e2)"
rookery,seals,"Member-Collection (e1, e2)"
novel,forces,"Cause-Effect (e2, e1)"
car,river,"Entity-Destination (e1, e2)"
news,rights issues,"Message-Topic (e1, e2)"
team,ram,"Instrument-Agency (e1, e2)"
builder,cenotaphs,"Product-Producer (e1, e2)"
song,band,"Product-Producer (e2, e1)"
head,political party,"Member-Collection (e1, e2)"
leaves,street,"Entity-Destination (e1, e2)"
book,catalogues,"Content-Container (e1, e2)"
man,water,"Entity-Origin (e2, e1)"
story,existence,"Message-Topic (e1, e2)"
brain,jar,"Content-Container (e2, e1)"
stand,flamingos,"Member-Collection (e1, e2)"
hair loss,stress,"Cause-Effect (e2, e1)"
nation,mourning,"Cause-Effect (e1, e2)"
film,cadaver,"Message-Topic (e1, e2)"
litter,litter box,"Content-Container (e1, e2)"
news,agreement,"Message-Topic (e1, e2)"
stem,plant,"Component-Whole (e1, e2)"
grandstand,concourse,"Component-Whole (e1, e2)"
spreads,book,"Component-Whole (e1, e2)"
heroes,movies,"Member-Collection (e1, e2)"
petition,governor,"Entity-Destination (e1, e2)"
team,jungle,"Entity-Destination (e1, e2)"
staff,people,Other
grandfather,story,"Message-Topic (e1, e2)"
running,shoes,"Instrument-Agency (e2, e1)"
pilot,kit,"Content-Container (e1, e2)"
church,steps,"Component-Whole (e1, e2)"
activation,source,"Instrument-Agency (e2, e1)"
labor,building,"Product-Producer (e1, e2)"
report,agreement,"Message-Topic (e1, e2)"
heart,artist,"Product-Producer (e2, e1)"
leather,craftsman,"Product-Producer (e2, e1)"
article,difficulties,"Message-Topic (e1, e2)"
writer,series,"Product-Producer (e1, e2)"
cartload,firewood,"Content-Container (e1, e2)"
colors,dispersion,"Cause-Effect (e2, e1)"
discussion,violence,"Message-Topic (e1, e2)"
handset,manufacturer,"Product-Producer (e2, e1)"
position,canon law,Other
clutch,conferences,"Member-Collection (e1, e2)"
photo,frame,"Content-Container (e1, e2)"
finger,can,"Content-Container (e2, e1)"
shipments,stock,"Entity-Destination (e1, e2)"
doctor,sphygmomanometer,"Instrument-Agency (e1, e2)"
wheelchairs,people,"Entity-Destination (e1, e2)"
troupe,dancers,"Member-Collection (e1, e2)"
citizen,corporation,"Member-Collection (e1, e2)"
hostname,server,"Entity-Destination (e1, e2)"
shell,rod,"Content-Container (e1, e2)"
meeting,hour,Other
love,sculpture,"Message-Topic (e1, e2)"
articles,promotion,"Message-Topic (e1, e2)"
meeting,trade,"Message-Topic (e1, e2)"
poem,worker,"Product-Producer (e2, e1)"
phalanx,lawyers,"Member-Collection (e1, e2)"
drama series,team,"Message-Topic (e1, e2)"
liberties,laws,"Entity-Origin (e1, e2)"
depression,unemployment,"Cause-Effect (e1, e2)"
huddle,tents,"Member-Collection (e1, e2)"
Stone,grinding,"Instrument-Agency (e1, e2)"
coffin,funeral,"Entity-Destination (e1, e2)"
controversy,tickets,"Message-Topic (e1, e2)"
excursions,harbour,"Entity-Origin (e1, e2)"
coffee,cup,"Content-Container (e1, e2)"
document,diversity,"Message-Topic (e1, e2)"
opening,cask,"Component-Whole (e1, e2)"
family,taxi,"Entity-Destination (e1, e2)"
song,MP player,"Entity-Destination (e1, e2)"
body,cart,"Content-Container (e1, e2)"
toy,trash,"Content-Container (e1, e2)"
transport,mechanism,"Component-Whole (e1, e2)"
souffle,clouds,Other
firm,accountants,"Member-Collection (e1, e2)"
Bone,cell,"Component-Whole (e1, e2)"
money,envelopes,"Content-Container (e1, e2)"
cluster,computers,"Member-Collection (e1, e2)"
question,announcement,"Message-Topic (e1, e2)"
Relationships,series,"Message-Topic (e1, e2)"
fuel,bunker,"Content-Container (e1, e2)"
phagocytes,nanoparticles,"Entity-Destination (e1, e2)"
collision,crashes,"Cause-Effect (e1, e2)"
electricians,ohmmeters,"Instrument-Agency (e1, e2)"
horde,men,"Member-Collection (e1, e2)"
earphones,cord,"Component-Whole (e1, e2)"
pain,strains,"Cause-Effect (e1, e2)"
yeast,beer,"Product-Producer (e1, e2)"
boat,harbour,"Entity-Origin (e1, e2)"
player,string,"Instrument-Agency (e1, e2)"
anecdotes,workers,"Message-Topic (e1, e2)"
movie,sheep,"Message-Topic (e1, e2)"
brains,dish,"Content-Container (e1, e2)"
storm,town,"Entity-Destination (e1, e2)"
stories,book,"Content-Container (e1, e2)"
committee,commission,"Component-Whole (e1, e2)"
ribs,umbrella,"Component-Whole (e1, e2)"
blazes,trail,"Message-Topic (e1, e2)"
damage,bullet,"Cause-Effect (e1, e2)"
musician,album,"Product-Producer (e1, e2)"
files,software,"Entity-Destination (e1, e2)"
swans,regions,"Entity-Destination (e1, e2)"
Neuralgia,headache,"Cause-Effect (e1, e2)"
writer,storyboard,"Product-Producer (e1, e2)"
Bibliometrics,research evaluation,"Message-Topic (e1, e2)"
concerns,cases,"Message-Topic (e1, e2)"
brick,mason,"Product-Producer (e2, e1)"
damage,earthquake,"Cause-Effect (e1, e2)"
feet,floor,"Entity-Destination (e1, e2)"
aunt,care,"Entity-Destination (e1, e2)"
turtles,shells,"Component-Whole (e1, e2)"
dishwasher,controls,"Component-Whole (e1, e2)"
student,solution,"Product-Producer (e1, e2)"
arm,patient,"Component-Whole (e1, e2)"
first part,techniques,"Message-Topic (e1, e2)"
flower,cord,"Product-Producer (e2, e1)"
evacuation,war,"Cause-Effect (e2, e1)"
pencil,point,"Component-Whole (e1, e2)"
cadets,training,"Entity-Origin (e1, e2)"
chunks,airplane,"Entity-Origin (e1, e2)"
strings,cello,"Component-Whole (e1, e2)"
text,material,"Content-Container (e1, e2)"
couple,waters,"Entity-Destination (e1, e2)"
Air,mouthpiece,"Entity-Destination (e1, e2)"
associations,receiverships,"Instrument-Agency (e1, e2)"
crisis,boss,"Entity-Origin (e1, e2)"
scholarship,student,"Entity-Destination (e1, e2)"
misinterpretation,word,"Cause-Effect (e1, e2)"
damage,bombing,"Cause-Effect (e2, e1)"
death,tsunami,"Cause-Effect (e2, e1)"
satisfaction,playing,"Cause-Effect (e2, e1)"
backpage,news paper,"Component-Whole (e1, e2)"
team,team,"Member-Collection (e1, e2)"
Potato,starch,"Product-Producer (e1, e2)"
leakage,person,"Cause-Effect (e2, e1)"
investments,century,"Entity-Destination (e1, e2)"
particle,bath,"Entity-Origin (e1, e2)"
bottle,water,"Content-Container (e1, e2)"
lane,road,"Component-Whole (e1, e2)"
industries,economies,"Entity-Destination (e1, e2)"
congregation,plovers,"Member-Collection (e1, e2)"
sensor,winding,"Component-Whole (e1, e2)"
microcracks,stress,"Cause-Effect (e1, e2)"
body,coffin,"Content-Container (e1, e2)"
crock pot,hams,"Content-Container (e1, e2)"
paper,discovery,"Message-Topic (e1, e2)"
lane,road,"Component-Whole (e1, e2)"
rouleau,cells,"Member-Collection (e1, e2)"
mobile phone,toilet,"Entity-Destination (e1, e2)"
husband,leg,"Component-Whole (e1, e2)"
search,scales,"Entity-Destination (e1, e2)"
book,writer,"Product-Producer (e2, e1)"
handgrip,micrometer,"Component-Whole (e1, e2)"
creations,chef,"Product-Producer (e2, e1)"
cylinder,engine,"Component-Whole (e1, e2)"
squirrel,group,"Member-Collection (e1, e2)"
shoe,laces,"Component-Whole (e1, e2)"
land,river,"Entity-Origin (e1, e2)"
movement,moles,Other
basis,population,Other
aunt,health,Other
hand,gestures,"Instrument-Agency (e1, e2)"
plane crash,novel,"Message-Topic (e1, e2)"
system,modules,"Component-Whole (e1, e2)"
fear,stab,"Cause-Effect (e2, e1)"
reforms,changes,Other
commentator,obscenity,"Message-Topic (e1, e2)"
spindle,areometer,"Component-Whole (e1, e2)"
chapel,manor house,"Component-Whole (e1, e2)"
oven,plug,Other
bag,secure locker,"Content-Container (e1, e2)"
porch,queen,"Product-Producer (e2, e1)"
topic,discussion,"Message-Topic (e1, e2)"
lychee,note,Other
answer,riddle,"Message-Topic (e1, e2)"
scum,stripes,Other
dance,company,"Member-Collection (e1, e2)"
brotherhood,kings,"Member-Collection (e1, e2)"
prisoner,detention,"Entity-Destination (e1, e2)"
grasshoppers,burrow,"Entity-Destination (e1, e2)"
suffering,embargo,"Cause-Effect (e2, e1)"
medallion,pouch,"Content-Container (e1, e2)"
needles,packs,"Content-Container (e1, e2)"
sculpture,craftsmen,"Product-Producer (e2, e1)"
attacker,instrument,"Instrument-Agency (e1, e2)"
Plants,rooms,"Entity-Destination (e1, e2)"
company,version,"Product-Producer (e1, e2)"
students,drawing,"Product-Producer (e1, e2)"
offers,catalog,"Content-Container (e1, e2)"
heart,casket,"Content-Container (e1, e2)"
body,bin,"Content-Container (e1, e2)"
export,company,Other
hyperlink,field,"Content-Container (e1, e2)"
aid,areas,"Entity-Destination (e1, e2)"
criminal,jail,"Entity-Origin (e1, e2)"
arm,government,"Component-Whole (e1, e2)"
nuclear energy,pollution,"Cause-Effect (e1, e2)"
windshield,cockpit,"Component-Whole (e1, e2)"
anger,abuse,"Cause-Effect (e2, e1)"
paper,desk drawer,"Content-Container (e1, e2)"
entrance,east,"Entity-Origin (e1, e2)"
debt,stress,"Cause-Effect (e1, e2)"
hall,arrangement,Other
terrorists,jail,"Entity-Origin (e1, e2)"
advertising,selections,"Message-Topic (e1, e2)"
leaflet,qualities,"Message-Topic (e1, e2)"
soldiers,camp,"Entity-Destination (e1, e2)"
haul,fish,Other
quilts,cousin,Other
chivalry,warrior-knights,Other
comment,mayor,"Message-Topic (e1, e2)"
strike,death,"Cause-Effect (e1, e2)"
rig,drilling,"Instrument-Agency (e1, e2)"
album,singer,"Product-Producer (e2, e1)"
fear,power,"Cause-Effect (e2, e1)"
money,safe,"Content-Container (e1, e2)"
Students,crops,"Product-Producer (e1, e2)"
jam,trucks,Other
Tides,gravitational pull,"Cause-Effect (e2, e1)"
streaks,particles,"Cause-Effect (e2, e1)"
Changes,sub-committee,Other
Animations,version,"Entity-Destination (e1, e2)"
reflux,mouth,"Entity-Destination (e1, e2)"
dust,alarm,"Cause-Effect (e1, e2)"
photoreceptors,retina,"Component-Whole (e1, e2)"
bacteria,sickness,"Cause-Effect (e1, e2)"
types,sections,"Component-Whole (e1, e2)"
gun,box,"Content-Container (e1, e2)"
pain,indigestion,"Cause-Effect (e2, e1)"
word,noun,"Entity-Origin (e1, e2)"
remote,desk,"Content-Container (e1, e2)"
cells,tissues,"Component-Whole (e1, e2)"
drove,hogs,"Member-Collection (e1, e2)"
Borrowers,troubles,"Cause-Effect (e1, e2)"
joy,eating,"Cause-Effect (e2, e1)"
men,store,"Entity-Destination (e1, e2)"
farmer,tractor,"Instrument-Agency (e1, e2)"
Stroke,death,"Cause-Effect (e1, e2)"
praise,classics,"Message-Topic (e1, e2)"
newsletter,happenings,"Message-Topic (e1, e2)"
management,firm,"Component-Whole (e1, e2)"
machine,dictators,"Message-Topic (e1, e2)"
plant,storage unit,"Component-Whole (e1, e2)"
poppy,codeine,"Product-Producer (e1, e2)"
defendant,affidavit,"Entity-Origin (e1, e2)"
flicker,candles,"Entity-Origin (e1, e2)"
pain,torment,"Cause-Effect (e2, e1)"
director,company,"Component-Whole (e1, e2)"
discomfort,braces,"Cause-Effect (e2, e1)"
playwright,directions,"Product-Producer (e1, e2)"
community,positions,"Entity-Destination (e1, e2)"
flour,sacks,"Content-Container (e1, e2)"
locomotive,train,"Component-Whole (e1, e2)"
body,suitcase,"Content-Container (e1, e2)"
boy,cradle,"Content-Container (e1, e2)"
factory,glass,"Product-Producer (e1, e2)"
ear,canal,"Component-Whole (e1, e2)"
work,galleries,"Entity-Destination (e1, e2)"
property,developer,"Product-Producer (e2, e1)"
distraction,incident,"Cause-Effect (e1, e2)"
light,friend,"Entity-Origin (e1, e2)"
entrapments,suffocation,"Cause-Effect (e1, e2)"
glut,parrs,"Member-Collection (e1, e2)"
crush,fans,"Cause-Effect (e2, e1)"
members,gangs,"Member-Collection (e1, e2)"
signal,sine,"Component-Whole (e1, e2)"
pie,factory,"Product-Producer (e2, e1)"
Storms,losses,"Cause-Effect (e1, e2)"
app,newspaper,"Product-Producer (e2, e1)"
laws,war,"Message-Topic (e1, e2)"
drivers,toothpick,"Instrument-Agency (e1, e2)"
cross,site,"Entity-Origin (e1, e2)"
assembly,cover,"Component-Whole (e1, e2)"
plantation,beans,"Product-Producer (e1, e2)"
seat,cockpit,"Component-Whole (e1, e2)"
line,aisle,"Entity-Destination (e1, e2)"
lighting,works,"Message-Topic (e1, e2)"
medicine,food,"Entity-Destination (e1, e2)"
Discussion,function,"Message-Topic (e1, e2)"
bottle,carton box,"Content-Container (e1, e2)"
fish,oil,"Component-Whole (e1, e2)"
fume,irritation,"Cause-Effect (e2, e1)"
flame,pyre,"Entity-Origin (e1, e2)"
treadmill,space station,"Entity-Destination (e1, e2)"
ghostwriters,books,"Product-Producer (e1, e2)"
geometry,string,"Entity-Origin (e1, e2)"
pistil,carpels,"Component-Whole (e1, e2)"
girl,boy,Other
document,facts,"Content-Container (e1, e2)"
document,levels,"Content-Container (e1, e2)"
concern,economy,"Message-Topic (e1, e2)"
artist,can,"Content-Container (e1, e2)"
guy,map,"Instrument-Agency (e1, e2)"
seniors,leadership positions,"Entity-Destination (e1, e2)"
answer,trend,"Cause-Effect (e1, e2)"
volery,birds,"Member-Collection (e1, e2)"
areas,composition,"Message-Topic (e1, e2)"
kindle,rabbits,"Member-Collection (e1, e2)"
investigation,allegations,"Message-Topic (e1, e2)"
nose,man,"Component-Whole (e1, e2)"
shuttles,space,"Entity-Destination (e1, e2)"
valuables,safe,"Content-Container (e1, e2)"
Cadre,groups,"Member-Collection (e1, e2)"
audience,kids,"Member-Collection (e1, e2)"
programme,happiness,"Message-Topic (e1, e2)"
memo,lineup,"Content-Container (e1, e2)"
study,mechanisms,"Message-Topic (e1, e2)"
children,competition,"Entity-Destination (e1, e2)"
congress,provinces,"Member-Collection (e1, e2)"
sword,blade,"Component-Whole (e1, e2)"
range,diagram,"Content-Container (e1, e2)"
dashboard,speedometer,"Component-Whole (e1, e2)"
text,encyclopedia,"Content-Container (e1, e2)"
information,employees,"Content-Container (e1, e2)"
forum,eighteenth century,"Message-Topic (e1, e2)"
brotherhood,bruisers,"Member-Collection (e1, e2)"
devastation,waves,"Cause-Effect (e2, e1)"
Noise regulations,force,"Cause-Effect (e1, e2)"
design,architects,"Product-Producer (e2, e1)"
oil,runoff,"Entity-Origin (e1, e2)"
design,student,"Product-Producer (e2, e1)"
Cancer,illness,"Cause-Effect (e2, e1)"
drama,aftermath,"Message-Topic (e1, e2)"
server,cabinet,"Content-Container (e1, e2)"
Jeans,topstitching,"Component-Whole (e1, e2)"
legion,infantrymen,"Member-Collection (e1, e2)"
company,fireman,"Product-Producer (e2, e1)"
fire,collision,"Cause-Effect (e1, e2)"
joy,animals,Other
essay,literature,"Message-Topic (e1, e2)"
mainmast,bark,"Component-Whole (e1, e2)"
interview,next show,"Entity-Destination (e1, e2)"
skills,surgery,"Instrument-Agency (e1, e2)"
satisfaction,watching,"Cause-Effect (e1, e2)"
dryer,wall,"Component-Whole (e1, e2)"
immigrant,port,"Entity-Destination (e1, e2)"
page,terms,"Message-Topic (e1, e2)"
taxes,years,"Entity-Origin (e1, e2)"
bottle,water,"Content-Container (e1, e2)"
list,records,"Entity-Origin (e1, e2)"
girl,danger,"Entity-Destination (e1, e2)"
handles,hand brake,"Component-Whole (e1, e2)"
drug,brain,"Entity-Destination (e1, e2)"
phone,prototype stage,"Entity-Destination (e1, e2)"
files,folder,"Entity-Destination (e1, e2)"
gas centrifuge,camp,"Entity-Origin (e1, e2)"
pollution,shipwreck,"Cause-Effect (e2, e1)"
nose,surfboard,"Component-Whole (e1, e2)"
Inhalation,irritation,"Cause-Effect (e1, e2)"
