head_entity_text,tail_entity_text,relation
back,chair,"Component-Whole (e1, e2)"
fatigue,pain,"Cause-Effect (e1, e2)"
claw,hammer,"Component-Whole (e1, e2)"
magazine,sport,"Message-Topic (e1, e2)"
cartomancers,cards,"Instrument-Agency (e1, e2)"
films,mental illness,"Message-Topic (e1, e2)"
company,publication,"Instrument-Agency (e2, e1)"
papaya,nectar,"Component-Whole (e1, e2)"
volume,concepts,"Message-Topic (e1, e2)"
defendant,custody,"Entity-Origin (e1, e2)"
plant,vehicles,"Product-Producer (e1, e2)"
cheese,dish,"Component-Whole (e1, e2)"
castle,museum,"Content-Container (e1, e2)"
clubs,ownership,"Entity-Destination (e1, e2)"
man,car,"Entity-Destination (e1, e2)"
section,interpretation,"Message-Topic (e1, e2)"
drawer,coffeemaker,"Component-Whole (e1, e2)"
tube,container,"Entity-Destination (e1, e2)"
views,television,"Message-Topic (e1, e2)"
chapter,importance,"Message-Topic (e1, e2)"
station,device,"Instrument-Agency (e1, e2)"
offenders,officers,"Entity-Origin (e1, e2)"
book,beauty,"Message-Topic (e1, e2)"
spills,hurricane,"Cause-Effect (e1, e2)"
studies,adults,"Message-Topic (e1, e2)"
diseases,gene mutations,"Cause-Effect (e1, e2)"
response,ripple,"Cause-Effect (e1, e2)"
tree,crown,"Component-Whole (e2, e1)"
mischief,rats,"Member-Collection (e1, e2)"
cable network,science fiction TV shows,"Message-Topic (e1, e2)"
cat,trap,"Content-Container (e1, e2)"
stories,dance,"Instrument-Agency (e1, e2)"
foundry,frames,"Product-Producer (e1, e2)"
air,smell,"Content-Container (e1, e2)"
joy,laughing,"Cause-Effect (e1, e2)"
lines,author,"Product-Producer (e1, e2)"
receiver,tone,"Product-Producer (e1, e2)"
squad,militants,"Member-Collection (e1, e2)"
telescope,lenses,"Component-Whole (e1, e2)"
pulp,tupperware tub,"Entity-Destination (e1, e2)"
Carpenters,wood,"Instrument-Agency (e1, e2)"
samples,milking,"Entity-Origin (e1, e2)"
blogger,conversation,"Member-Collection (e1, e2)"
speech,idea,"Message-Topic (e1, e2)"
rice,flour,"Component-Whole (e1, e2)"
body,passenger,"Cause-Effect (e1, e2)"
Asteroid,disaster,"Cause-Effect (e1, e2)"
farm,acres,"Component-Whole (e1, e2)"
laptop,plastic bag,"Content-Container (e1, e2)"
telephone,operator,"Instrument-Agency (e2, e1)"
tales,concerns,"Message-Topic (e1, e2)"
forebrain,amphibians,"Component-Whole (e1, e2)"
company,home,"Product-Producer (e1, e2)"
camera,leaflet box,"Content-Container (e1, e2)"
organizations,resources,"Instrument-Agency (e1, e2)"
swim bladder,animals,"Component-Whole (e1, e2)"
coffle,asses,"Member-Collection (e2, e1)"
coloring,coat of arms,"Entity-Origin (e1, e2)"
coalition,interests,"Component-Whole (e1, e2)"
electrician,tool,"Instrument-Agency (e2, e1)"
data,epochs,"Entity-Origin (e1, e2)"
city,rock and roll,Other
parents,station,"Entity-Origin (e1, e2)"
police,chief,"Component-Whole (e2, e1)"
Hospitals,apparatus,"Instrument-Agency (e2, e1)"
boots,box,"Content-Container (e1, e2)"
attractions,billboards,"Instrument-Agency (e2, e1)"
guy,car,"Instrument-Agency (e2, e1)"
fetus,insulin,"Product-Producer (e1, e2)"
design,wife,"Product-Producer (e1, e2)"
circle,hooligans,"Member-Collection (e2, e1)"
litter,rabbits,"Member-Collection (e2, e1)"
texts,anecdotes,"Message-Topic (e1, e2)"
documents,strategies,"Message-Topic (e1, e2)"
punchcutter,imprint,"Product-Producer (e1, e2)"
plug,battery box,"Component-Whole (e1, e2)"
visit,strategy,"Component-Whole (e1, e2)"
microbes,sickness,"Cause-Effect (e1, e2)"
implications,publication,"Content-Container (e1, e2)"
document,drugs,"Message-Topic (e1, e2)"
bazooka,game,Other
model,example,"Entity-Origin (e1, e2)"
Researchers,ingredients,"Product-Producer (e1, e2)"
ale,mug,"Content-Container (e1, e2)"
motor,canister,"Content-Container (e1, e2)"
corps,cadets,"Member-Collection (e2, e1)"
wing,aircrafts,"Component-Whole (e1, e2)"
name,address,"Entity-Origin (e1, e2)"
Analysts,frequency,"Instrument-Agency (e2, e1)"
man,countries,"Entity-Destination (e1, e2)"
keeper,team,"Member-Collection (e1, e2)"
high-wheelers,push-bike,"Entity-Origin (e1, e2)"
line,geometry,"Component-Whole (e1, e2)"
pollution,cars,"Entity-Origin (e1, e2)"
posts,writer,"Product-Producer (e2, e1)"
Molten core,river,"Entity-Destination (e1, e2)"
lithics,mountain ranges,"Entity-Origin (e1, e2)"
analyzer,method,"Instrument-Agency (e1, e2)"
narrative,history,"Message-Topic (e1, e2)"
attributes,children,"Entity-Destination (e1, e2)"
pollen,basket,"Content-Container (e1, e2)"
nurse,arm,Other
person,content,"Product-Producer (e1, e2)"
mushroom,mass,"Content-Container (e1, e2)"
squad,beaters,"Member-Collection (e2, e1)"
potatoes,basket,"Content-Container (e1, e2)"
building,engineer,"Product-Producer (e2, e1)"
thesis,book,"Content-Container (e1, e2)"
crew,breast,Other
Rain,cancellation,"Cause-Effect (e1, e2)"
society,trends,"Cause-Effect (e2, e1)"
roundtables,keywords,"Message-Topic (e1, e2)"
website,articles,"Content-Container (e1, e2)"
theory,science fiction,"Content-Container (e1, e2)"
clustering,clusters,"Cause-Effect (e1, e2)"
cherry,wine,"Component-Whole (e1, e2)"
song,contest,"Entity-Destination (e1, e2)"
dollars,trusts,"Entity-Destination (e1, e2)"
floppies,factory,"Entity-Origin (e1, e2)"
wall,store,"Component-Whole (e1, e2)"
body,bin,"Content-Container (e1, e2)"
congressman,party ticket,"Instrument-Agency (e1, e2)"
sound,viper,"Product-Producer (e1, e2)"
containers,dam,"Entity-Destination (e1, e2)"
lobe,pancreas,"Component-Whole (e1, e2)"
elephant,toes,"Component-Whole (e2, e1)"
bottle,marbles,"Content-Container (e2, e1)"
staff,employees,"Member-Collection (e2, e1)"
order,friars,"Member-Collection (e2, e1)"
nails,hand,"Component-Whole (e1, e2)"
oil,seed,"Entity-Origin (e1, e2)"
samples,beaker,"Content-Container (e1, e2)"
brother,gloves,"Instrument-Agency (e2, e1)"
cane,sugar,"Entity-Origin (e2, e1)"
bottle,soda,"Content-Container (e2, e1)"
money,jar,"Content-Container (e1, e2)"
banner,knights,"Product-Producer (e1, e2)"
crash,attack,"Cause-Effect (e2, e1)"
criticism,media coverage,"Message-Topic (e1, e2)"
wine,jeroboam,"Content-Container (e1, e2)"
work,end,Other
Debate,roles,"Message-Topic (e1, e2)"
Conditions,report,"Content-Container (e1, e2)"
animals,farm,"Entity-Destination (e1, e2)"
sound,combination,"Component-Whole (e1, e2)"
coin,case,"Content-Container (e1, e2)"
parade,penguins,"Member-Collection (e2, e1)"
ethanol,factories,"Product-Producer (e1, e2)"
drilling,chemicals,"Instrument-Agency (e1, e2)"
information,press release,"Entity-Origin (e1, e2)"
chain,islands,"Member-Collection (e2, e1)"
investigations,evidence,"Product-Producer (e1, e2)"
damage,misuse,"Cause-Effect (e2, e1)"
fruit,seeds,"Content-Container (e1, e2)"
enjoyment,programming,"Entity-Origin (e1, e2)"
technique,combination,"Instrument-Agency (e1, e2)"
bones,foot,"Component-Whole (e1, e2)"
migrations,deprivation,"Cause-Effect (e1, e2)"
accident,impact,"Cause-Effect (e2, e1)"
aria,composer,"Product-Producer (e1, e2)"
contents,carafe,"Content-Container (e1, e2)"
stem,tree,"Component-Whole (e1, e2)"
time,machine,"Component-Whole (e2, e1)"
production,playwright,"Product-Producer (e1, e2)"
philosopher,writings,"Product-Producer (e1, e2)"
tableau,room,"Content-Container (e1, e2)"
strings,device,"Component-Whole (e1, e2)"
cases,term,"Entity-Origin (e1, e2)"
mix,pans,"Entity-Destination (e1, e2)"
lungs,ferrets,"Component-Whole (e1, e2)"
gerbil,threat,"Entity-Origin (e1, e2)"
airstrike,explosions,"Cause-Effect (e1, e2)"
keel,ship,"Component-Whole (e1, e2)"
Barrages,energy,"Instrument-Agency (e1, e2)"
protocol,implementation,"Message-Topic (e1, e2)"
conflict,wastewater,"Cause-Effect (e2, e1)"
report,commission,"Product-Producer (e1, e2)"
car,engine,"Instrument-Agency (e1, e2)"
driver,keys,"Product-Producer (e1, e2)"
book,phases,"Message-Topic (e1, e2)"
spam,clients,"Entity-Destination (e1, e2)"
plum,syrup,"Component-Whole (e1, e2)"
news,statement,"Content-Container (e1, e2)"
damage,tornado,"Cause-Effect (e2, e1)"
friend,surfer,Other
song,hypocrisy,"Message-Topic (e1, e2)"
horse,hoof,"Component-Whole (e2, e1)"
downturn,people,"Cause-Effect (e1, e2)"
motives,trial,"Entity-Destination (e1, e2)"
compeers,profession,"Member-Collection (e1, e2)"
citizen,battles,"Entity-Destination (e1, e2)"
topics,song,"Message-Topic (e1, e2)"
rookery,seals,"Member-Collection (e2, e1)"
novel,forces,"Cause-Effect (e2, e1)"
car,river,"Entity-Destination (e1, e2)"
news,rights issues,"Message-Topic (e1, e2)"
team,ram,"Instrument-Agency (e2, e1)"
builder,cenotaphs,"Product-Producer (e2, e1)"
song,band,"Product-Producer (e1, e2)"
head,political party,"Component-Whole (e1, e2)"
leaves,street,"Entity-Destination (e1, e2)"
book,catalogs,"Component-Whole (e1, e2)"
man,water,"Cause-Effect (e2, e1)"
story,existence,"Message-Topic (e1, e2)"
brain,jar,"Content-Container (e1, e2)"
stand,flamingos,"Member-Collection (e2, e1)"
hair loss,stress,"Cause-Effect (e2, e1)"
nation,mourning,"Entity-Destination (e1, e2)"
film,cadaver,"Message-Topic (e1, e2)"
litter,litter box,"Content-Container (e1, e2)"
news,agreement,"Message-Topic (e1, e2)"
stem,plant,"Component-Whole (e1, e2)"
grandstand,concourse,"Component-Whole (e1, e2)"
spreads,book,"Component-Whole (e1, e2)"
heroes,movies,"Entity-Origin (e1, e2)"
petition,governor,"Entity-Destination (e1, e2)"
team,jungle,"Entity-Destination (e1, e2)"
staff,people,Other
grandfather,story,"Product-Producer (e1, e2)"
running,shoes,"Instrument-Agency (e2, e1)"
pilot,kit,"Instrument-Agency (e1, e2)"
church,steps,"Component-Whole (e2, e1)"
activation,source,"Instrument-Agency (e2, e1)"
labor,building,"Instrument-Agency (e1, e2)"
report,agreement,"Message-Topic (e1, e2)"
heart,artist,"Product-Producer (e1, e2)"
leather,craftsman,"Product-Producer (e2, e1)"
article,difficulties,"Message-Topic (e1, e2)"
writer,series,"Product-Producer (e1, e2)"
cartload,firewood,"Content-Container (e1, e2)"
colors,dispersion,"Cause-Effect (e2, e1)"
discussion,violence,"Message-Topic (e1, e2)"
handset,manufacturer,"Product-Producer (e1, e2)"
position,canon law,"Content-Container (e1, e2)"
clutch,conferences,"Member-Collection (e2, e1)"
photo,frame,"Content-Container (e1, e2)"
finger,can,"Content-Container (e1, e2)"
shipments,stock,"Entity-Destination (e1, e2)"
doctor,sphygmomanometer,"Instrument-Agency (e2, e1)"
wheelchairs,people,"Instrument-Agency (e1, e2)"
troupe,dancers,"Member-Collection (e2, e1)"
citizen,corporation,"Member-Collection (e1, e2)"
hostname,server,"Entity-Destination (e1, e2)"
shell,rod,"Content-Container (e1, e2)"
meeting,hour,Other
love,sculpture,"Message-Topic (e1, e2)"
articles,promotion,"Message-Topic (e1, e2)"
meeting,trade,"Message-Topic (e1, e2)"
poem,worker,"Product-Producer (e1, e2)"
phalanx,lawyers,"Member-Collection (e2, e1)"
drama series,team,"Message-Topic (e1, e2)"
liberties,laws,"Content-Container (e1, e2)"
depression,unemployment,"Cause-Effect (e2, e1)"
huddle,tents,"Member-Collection (e2, e1)"
Stone,grinding,"Instrument-Agency (e1, e2)"
coffin,funeral,"Entity-Destination (e1, e2)"
controversy,tickets,"Message-Topic (e1, e2)"
excursions,harbour,"Entity-Origin (e1, e2)"
coffee,cup,"Content-Container (e1, e2)"
document,diversity,"Message-Topic (e1, e2)"
opening,cask,"Component-Whole (e1, e2)"
family,taxi,"Instrument-Agency (e1, e2)"
song,MP player,"Entity-Destination (e1, e2)"
body,cart,"Content-Container (e1, e2)"
toy,trash,"Content-Container (e1, e2)"
transport,mechanism,Other
souffle,clouds,Other
firm,accountants,"Member-Collection (e2, e1)"
Bone,cell,"Component-Whole (e2, e1)"
money,envelopes,"Content-Container (e1, e2)"
cluster,computers,"Member-Collection (e2, e1)"
question,announcement,"Message-Topic (e1, e2)"
Relationships,series,"Message-Topic (e1, e2)"
fuel,bunker,"Content-Container (e1, e2)"
phagocytes,nanoparticles,"Instrument-Agency (e2, e1)"
collision,crashes,"Cause-Effect (e1, e2)"
electricians,ohmmeters,"Instrument-Agency (e2, e1)"
horde,men,"Member-Collection (e2, e1)"
earphones,cord,"Component-Whole (e1, e2)"
pain,strains,"Cause-Effect (e2, e1)"
yeast,beer,"Instrument-Agency (e1, e2)"
boat,harbour,"Entity-Origin (e1, e2)"
player,string,"Instrument-Agency (e1, e2)"
anecdotes,workers,"Entity-Origin (e1, e2)"
movie,sheep,"Message-Topic (e1, e2)"
brains,dish,"Entity-Destination (e1, e2)"
storm,town,"Entity-Destination (e1, e2)"
stories,book,"Content-Container (e1, e2)"
committee,commission,Other
ribs,umbrella,"Component-Whole (e1, e2)"
blazes,trail,Other
damage,bullet,"Cause-Effect (e2, e1)"
musician,album,"Product-Producer (e1, e2)"
files,software,"Entity-Destination (e1, e2)"
swans,regions,"Entity-Destination (e1, e2)"
Neuralgia,headache,"Cause-Effect (e1, e2)"
writer,storyboard,"Product-Producer (e1, e2)"
Bibliometrics,research evaluation,"Instrument-Agency (e1, e2)"
concerns,cases,"Message-Topic (e1, e2)"
brick,mason,"Instrument-Agency (e1, e2)"
damage,earthquake,"Cause-Effect (e2, e1)"
feet,floor,"Entity-Destination (e1, e2)"
aunt,care,"Entity-Destination (e1, e2)"
turtles,shells,"Entity-Origin (e1, e2)"
dishwasher,controls,"Component-Whole (e2, e1)"
student,solution,"Product-Producer (e1, e2)"
arm,patient,"Component-Whole (e1, e2)"
first part,techniques,"Message-Topic (e1, e2)"
flower,cord,"Instrument-Agency (e2, e1)"
evacuation,war,"Cause-Effect (e1, e2)"
pencil,point,"Component-Whole (e1, e2)"
cadets,training,"Entity-Origin (e1, e2)"
chunks,airplane,"Entity-Origin (e1, e2)"
strings,cello,"Component-Whole (e1, e2)"
text,material,"Message-Topic (e1, e2)"
couple,waters,Other
Air,mouthpiece,"Entity-Destination (e1, e2)"
associations,receiverships,"Entity-Destination (e1, e2)"
crisis,boss,"Entity-Origin (e1, e2)"
scholarship,student,"Entity-Destination (e1, e2)"
misinterpretation,word,"Cause-Effect (e2, e1)"
damage,bombing,"Cause-Effect (e2, e1)"
death,tsunami,"Cause-Effect (e2, e1)"
satisfaction,playing,"Entity-Origin (e1, e2)"
backpage,news paper,"Component-Whole (e1, e2)"
team,team,"Product-Producer (e1, e2)"
Potato,starch,"Product-Producer (e1, e2)"
leakage,person,"Cause-Effect (e2, e1)"
investments,century,"Entity-Destination (e1, e2)"
particle,bath,"Entity-Origin (e1, e2)"
bottle,water,"Content-Container (e2, e1)"
lane,road,"Component-Whole (e1, e2)"
industries,economies,"Entity-Destination (e1, e2)"
congregation,plovers,"Member-Collection (e2, e1)"
sensor,winding,"Component-Whole (e2, e1)"
microcracks,stress,"Cause-Effect (e1, e2)"
body,coffin,"Content-Container (e1, e2)"
crock pot,hams,"Content-Container (e2, e1)"
paper,discovery,"Message-Topic (e1, e2)"
lane,road,"Component-Whole (e1, e2)"
rouleau,cells,"Member-Collection (e1, e2)"
mobile phone,toilet,"Entity-Destination (e1, e2)"
husband,leg,"Component-Whole (e2, e1)"
search,scales,"Instrument-Agency (e1, e2)"
book,writer,"Message-Topic (e1, e2)"
handgrip,micrometer,"Component-Whole (e1, e2)"
creations,chef,"Product-Producer (e1, e2)"
cylinder,engine,"Component-Whole (e1, e2)"
squirrel,group,"Entity-Origin (e1, e2)"
shoe,laces,"Component-Whole (e2, e1)"
land,river,"Entity-Origin (e1, e2)"
movement,moles,Other
basis,population,"Component-Whole (e1, e2)"
aunt,health,"Entity-Destination (e1, e2)"
hand,gestures,"Product-Producer (e1, e2)"
plane crash,novel,"Content-Container (e1, e2)"
system,modules,"Component-Whole (e1, e2)"
fear,stab,"Cause-Effect (e1, e2)"
reforms,changes,Other
commentator,obscenity,"Product-Producer (e2, e1)"
spindle,areometer,"Component-Whole (e1, e2)"
chapel,manor house,"Content-Container (e1, e2)"
oven,plug,"Component-Whole (e1, e2)"
bag,secure locker,"Content-Container (e1, e2)"
porch,queen,"Product-Producer (e1, e2)"
topic,discussion,"Content-Container (e1, e2)"
lychee,note,"Instrument-Agency (e1, e2)"
answer,riddle,"Entity-Origin (e1, e2)"
scum,stripes,"Member-Collection (e1, e2)"
dance,company,"Component-Whole (e1, e2)"
brotherhood,kings,"Member-Collection (e1, e2)"
prisoner,detention,"Entity-Origin (e1, e2)"
grasshoppers,burrow,"Product-Producer (e1, e2)"
suffering,embargo,"Cause-Effect (e1, e2)"
medallion,pouch,"Content-Container (e1, e2)"
needles,packs,"Entity-Destination (e1, e2)"
sculpture,craftsmen,"Product-Producer (e1, e2)"
attacker,instrument,"Instrument-Agency (e1, e2)"
Plants,rooms,"Entity-Destination (e1, e2)"
company,version,"Product-Producer (e1, e2)"
students,drawing,"Instrument-Agency (e1, e2)"
offers,catalog,"Content-Container (e1, e2)"
heart,casket,"Content-Container (e1, e2)"
body,bin,"Content-Container (e1, e2)"
export,company,"Component-Whole (e1, e2)"
hyperlink,field,"Content-Container (e1, e2)"
aid,areas,"Entity-Destination (e1, e2)"
criminal,jail,"Entity-Origin (e1, e2)"
arm,government,"Component-Whole (e1, e2)"
nuclear energy,pollution,"Cause-Effect (e1, e2)"
windshield,cockpit,"Component-Whole (e1, e2)"
anger,abuse,"Cause-Effect (e1, e2)"
paper,desk drawer,"Content-Container (e1, e2)"
entrance,east,"Entity-Origin (e1, e2)"
debt,stress,"Cause-Effect (e1, e2)"
hall,arrangement,"Component-Whole (e1, e2)"
terrorists,jail,"Entity-Origin (e1, e2)"
advertising,selections,"Message-Topic (e1, e2)"
leaflet,qualities,"Message-Topic (e1, e2)"
soldiers,camp,"Entity-Destination (e1, e2)"
haul,fish,"Member-Collection (e1, e2)"
quilts,cousin,"Product-Producer (e1, e2)"
chivalry,warrior-knights,"Component-Whole (e2, e1)"
comment,mayor,"Product-Producer (e1, e2)"
strike,death,"Cause-Effect (e1, e2)"
rig,drilling,"Instrument-Agency (e1, e2)"
album,singer,"Product-Producer (e1, e2)"
fear,power,"Cause-Effect (e1, e2)"
money,safe,"Content-Container (e1, e2)"
Students,crops,"Product-Producer (e1, e2)"
jam,trucks,"Member-Collection (e1, e2)"
Tides,gravitational pull,"Cause-Effect (e1, e2)"
streaks,particles,"Cause-Effect (e1, e2)"
Changes,sub-committee,"Content-Container (e1, e2)"
Animations,version,"Entity-Destination (e1, e2)"
reflux,mouth,"Content-Container (e1, e2)"
dust,alarm,"Cause-Effect (e1, e2)"
photoreceptors,retina,"Component-Whole (e1, e2)"
bacteria,sickness,"Cause-Effect (e1, e2)"
types,sections,"Content-Container (e1, e2)"
gun,box,"Content-Container (e1, e2)"
pain,indigestion,"Entity-Origin (e1, e2)"
word,noun,"Entity-Origin (e1, e2)"
remote,desk,"Content-Container (e1, e2)"
cells,tissues,"Entity-Destination (e1, e2)"
drove,hogs,"Member-Collection (e1, e2)"
Borrowers,troubles,"Entity-Destination (e1, e2)"
joy,eating,"Cause-Effect (e2, e1)"
men,store,"Content-Container (e1, e2)"
farmer,tractor,"Instrument-Agency (e1, e2)"
Stroke,death,"Cause-Effect (e1, e2)"
praise,classics,"Message-Topic (e1, e2)"
newsletter,happenings,"Message-Topic (e1, e2)"
management,firm,"Component-Whole (e1, e2)"
machine,dictators,"Message-Topic (e1, e2)"
plant,storage unit,"Entity-Origin (e1, e2)"
poppy,codeine,"Entity-Origin (e1, e2)"
defendant,affidavit,"Product-Producer (e1, e2)"
flicker,candles,"Entity-Origin (e1, e2)"
pain,torment,"Cause-Effect (e1, e2)"
director,company,"Component-Whole (e1, e2)"
discomfort,braces,"Entity-Origin (e1, e2)"
playwright,directions,"Product-Producer (e1, e2)"
community,positions,"Entity-Origin (e1, e2)"
flour,sacks,"Content-Container (e1, e2)"
locomotive,train,"Component-Whole (e1, e2)"
body,suitcase,"Content-Container (e1, e2)"
boy,cradle,"Content-Container (e1, e2)"
factory,glass,"Product-Producer (e2, e1)"
ear,canal,"Component-Whole (e1, e2)"
work,galleries,"Content-Container (e1, e2)"
property,developer,"Product-Producer (e2, e1)"
distraction,incident,"Cause-Effect (e1, e2)"
light,friend,"Entity-Origin (e1, e2)"
entrapments,suffocation,"Cause-Effect (e1, e2)"
glut,parrs,"Member-Collection (e1, e2)"
crush,fans,"Member-Collection (e1, e2)"
members,gangs,"Member-Collection (e1, e2)"
signal,sine,"Entity-Origin (e1, e2)"
pie,factory,"Product-Producer (e1, e2)"
Storms,losses,"Cause-Effect (e1, e2)"
app,newspaper,"Entity-Origin (e1, e2)"
laws,war,"Message-Topic (e1, e2)"
drivers,toothpick,"Instrument-Agency (e2, e1)"
cross,site,"Entity-Origin (e1, e2)"
assembly,cover,"Component-Whole (e1, e2)"
plantation,beans,"Content-Container (e1, e2)"
seat,cockpit,"Component-Whole (e1, e2)"
line,aisle,"Entity-Destination (e1, e2)"
lighting,works,Other
medicine,food,"Content-Container (e1, e2)"
Discussion,function,"Message-Topic (e1, e2)"
bottle,carton box,"Content-Container (e2, e1)"
fish,oil,"Product-Producer (e1, e2)"
fume,irritation,"Cause-Effect (e1, e2)"
flame,pyre,"Entity-Origin (e1, e2)"
treadmill,space station,"Content-Container (e2, e1)"
ghostwriters,books,"Product-Producer (e1, e2)"
geometry,string,"Entity-Origin (e1, e2)"
pistil,carpels,"Component-Whole (e1, e2)"
girl,boy,"Entity-Origin (e1, e2)"
document,facts,"Content-Container (e1, e2)"
document,levels,"Message-Topic (e1, e2)"
concern,economy,"Message-Topic (e1, e2)"
artist,can,"Content-Container (e2, e1)"
guy,map,"Instrument-Agency (e2, e1)"
seniors,leadership positions,"Entity-Destination (e1, e2)"
answer,trend,"Cause-Effect (e2, e1)"
volery,birds,"Member-Collection (e2, e1)"
areas,composition,"Message-Topic (e1, e2)"
kindle,rabbits,"Member-Collection (e2, e1)"
investigation,allegations,"Message-Topic (e1, e2)"
nose,man,"Component-Whole (e1, e2)"
shuttles,space,"Entity-Destination (e1, e2)"
valuables,safe,"Content-Container (e2, e1)"
Cadre,groups,"Member-Collection (e2, e1)"
audience,kids,"Member-Collection (e2, e1)"
programme,happiness,"Message-Topic (e1, e2)"
memo,lineup,"Message-Topic (e1, e2)"
study,mechanisms,"Message-Topic (e1, e2)"
children,competition,"Member-Collection (e1, e2)"
congress,provinces,"Member-Collection (e2, e1)"
sword,blade,"Component-Whole (e1, e2)"
range,diagram,"Content-Container (e2, e1)"
dashboard,speedometer,"Component-Whole (e2, e1)"
text,encyclopedia,"Component-Whole (e1, e2)"
information,employees,"Message-Topic (e1, e2)"
forum,eighteenth century,"Message-Topic (e1, e2)"
brotherhood,bruisers,"Member-Collection (e2, e1)"
devastation,waves,"Cause-Effect (e2, e1)"
Noise regulations,force,Other
design,architects,"Product-Producer (e2, e1)"
oil,runoff,"Entity-Origin (e1, e2)"
design,student,"Product-Producer (e2, e1)"
Cancer,illness,"Cause-Effect (e1, e2)"
drama,aftermath,"Message-Topic (e1, e2)"
server,cabinet,"Content-Container (e2, e1)"
Jeans,topstitching,"Component-Whole (e1, e2)"
legion,infantrymen,"Member-Collection (e2, e1)"
company,fireman,"Product-Producer (e2, e1)"
fire,collision,"Cause-Effect (e2, e1)"
joy,animals,"Cause-Effect (e2, e1)"
essay,literature,"Message-Topic (e1, e2)"
mainmast,bark,"Component-Whole (e1, e2)"
interview,next show,"Content-Container (e2, e1)"
skills,surgery,"Message-Topic (e1, e2)"
satisfaction,watching,"Cause-Effect (e2, e1)"
dryer,wall,Other
immigrant,port,"Entity-Destination (e1, e2)"
page,terms,"Message-Topic (e1, e2)"
taxes,years,"Entity-Origin (e1, e2)"
