head_entity_text,tail_entity_text,predicted_label,true_label
witch,magic,"Instrument-Agency (e1, e2)","Instrument-Agency (e2, e1)"
committee,organisation,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
clock,presentations,"Component-Whole (e1, e2)","Entity-Destination (e1, e2)"
family,features,Other,"Product-Producer (e2, e1)"
method,combination,Other,Other
statue,head,"Component-Whole (e1, e2)",Other
article,use,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
comments,readers,"Message-Topic (e1, e2)","Product-Producer (e1, e2)"
president,university,Other,Other
wine,grapes,"Product-Producer (e1, e2)","Entity-Origin (e1, e2)"
slide,crew,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
inspector,yard,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
regulations,force,"Entity-Destination (e1, e2)",Other
questions,press,"Message-Topic (e1, e2)","Product-Producer (e1, e2)"
children,exile,"Entity-Destination (e1, e2)",Other
father,bar,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
rebound,net,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
student,application,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
bar,seats,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
back,chair,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
fatigue,pain,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
claw,hammer,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
magazine,sport,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
cartomancers,cards,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
films,mental illness,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
company,publication,Other,"Product-Producer (e2, e1)"
papaya,nectar,Other,"Entity-Origin (e2, e1)"
volume,concepts,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
defendant,custody,"Entity-Origin (e2, e1)","Entity-Origin (e1, e2)"
plant,vehicles,"Product-Producer (e1, e2)",Other
cheese,dish,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
castle,museum,"Entity-Destination (e1, e2)","Component-Whole (e1, e2)"
clubs,ownership,"Entity-Destination (e1, e2)",Other
man,car,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
section,interpretation,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
drawer,coffeemaker,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
tube,container,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
views,television,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
chapter,importance,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
station,device,"Instrument-Agency (e2, e1)","Component-Whole (e2, e1)"
offenders,officers,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
book,beauty,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
spills,hurricane,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
studies,adults,"Message-Topic (e1, e2)",Other
diseases,gene mutations,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
response,ripple,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
tree,crown,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
mischief,rats,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
cable network,science fiction TV shows,Other,Other
cat,trap,"Content-Container (e2, e1)","Content-Container (e1, e2)"
stories,dance,"Message-Topic (e1, e2)",Other
foundry,frames,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
air,smell,"Content-Container (e2, e1)",Other
joy,laughing,"Entity-Origin (e1, e2)","Cause-Effect (e2, e1)"
lines,author,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
receiver,tone,Other,"Cause-Effect (e1, e2)"
squad,militants,"Member-Collection (e2, e1)","Member-Collection (e2, e1)"
telescope,lenses,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
pulp,tupperware tub,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
Carpenters,wood,Other,"Instrument-Agency (e2, e1)"
samples,milking,"Entity-Origin (e1, e2)",Other
blogger,conversation,Other,Other
speech,idea,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
rice,flour,"Component-Whole (e1, e2)","Entity-Origin (e2, e1)"
body,passenger,"Content-Container (e2, e1)","Entity-Origin (e2, e1)"
Asteroid,disaster,"Cause-Effect (e2, e1)",Other
farm,acres,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
laptop,plastic bag,"Content-Container (e1, e2)","Content-Container (e1, e2)"
telephone,operator,Other,"Instrument-Agency (e1, e2)"
tales,concerns,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
forebrain,amphibians,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
company,home,"Entity-Destination (e1, e2)",Other
camera,leaflet box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
organizations,resources,Other,"Instrument-Agency (e2, e1)"
swim bladder,animals,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
coffle,asses,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
coloring,coat of arms,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
coalition,interests,Other,"Member-Collection (e2, e1)"
electrician,tool,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
data,epochs,Other,"Entity-Origin (e1, e2)"
city,rock and roll,Other,Other
parents,station,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
police,chief,Other,"Member-Collection (e2, e1)"
Hospitals,apparatus,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
boots,box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
attractions,billboards,"Message-Topic (e2, e1)","Message-Topic (e2, e1)"
guy,car,Other,Other
fetus,insulin,"Product-Producer (e1, e2)","Product-Producer (e2, e1)"
design,wife,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
circle,hooligans,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
litter,rabbits,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
texts,anecdotes,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
documents,strategies,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
punchcutter,imprint,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
plug,battery box,"Component-Whole (e1, e2)",Other
visit,strategy,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
microbes,sickness,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
implications,publication,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
document,drugs,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
bazooka,game,Other,"Entity-Origin (e1, e2)"
model,example,Other,"Entity-Origin (e1, e2)"
Researchers,ingredients,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
ale,mug,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
motor,canister,"Component-Whole (e1, e2)","Content-Container (e1, e2)"
corps,cadets,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
wing,aircrafts,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
name,address,Other,"Entity-Origin (e1, e2)"
Analysts,frequency,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
man,countries,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
keeper,team,"Member-Collection (e1, e2)","Member-Collection (e1, e2)"
high-wheelers,push-bike,"Entity-Origin (e1, e2)",Other
line,geometry,"Message-Topic (e1, e2)",Other
pollution,cars,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
posts,writer,Other,"Product-Producer (e1, e2)"
Molten core,river,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
lithics,mountain ranges,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
analyzer,method,Other,"Instrument-Agency (e2, e1)"
narrative,history,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
attributes,children,Other,"Entity-Destination (e1, e2)"
pollen,basket,"Content-Container (e1, e2)","Content-Container (e1, e2)"
nurse,arm,Other,Other
person,content,Other,"Product-Producer (e2, e1)"
mushroom,mass,"Entity-Destination (e1, e2)",Other
squad,beaters,Other,"Member-Collection (e2, e1)"
potatoes,basket,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
building,engineer,"Component-Whole (e2, e1)","Product-Producer (e1, e2)"
thesis,book,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
crew,breast,Other,"Instrument-Agency (e2, e1)"
Rain,cancellation,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
society,trends,"Message-Topic (e2, e1)",Other
roundtables,keywords,Other,"Message-Topic (e1, e2)"
website,articles,"Product-Producer (e2, e1)","Component-Whole (e2, e1)"
theory,science fiction,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
clustering,clusters,"Cause-Effect (e1, e2)",Other
cherry,wine,"Product-Producer (e1, e2)","Entity-Origin (e2, e1)"
song,contest,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
dollars,trusts,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
floppies,factory,"Entity-Origin (e1, e2)","Product-Producer (e1, e2)"
wall,store,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
body,bin,"Content-Container (e1, e2)","Content-Container (e1, e2)"
congressman,party ticket,Other,Other
sound,viper,Other,"Cause-Effect (e2, e1)"
containers,dam,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
lobe,pancreas,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
elephant,toes,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
bottle,marbles,"Content-Container (e2, e1)","Content-Container (e2, e1)"
staff,employees,Other,"Member-Collection (e2, e1)"
order,friars,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
nails,hand,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
oil,seed,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
samples,beaker,"Entity-Destination (e1, e2)","Content-Container (e1, e2)"
brother,gloves,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
cane,sugar,"Component-Whole (e1, e2)","Entity-Origin (e2, e1)"
bottle,soda,"Content-Container (e1, e2)","Content-Container (e2, e1)"
money,jar,"Content-Container (e1, e2)","Content-Container (e1, e2)"
banner,knights,Other,Other
crash,attack,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
criticism,media coverage,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
wine,jeroboam,"Content-Container (e1, e2)","Content-Container (e1, e2)"
work,end,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
Debate,roles,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
Conditions,report,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
animals,farm,"Entity-Destination (e1, e2)",Other
sound,combination,Other,Other
coin,case,"Content-Container (e1, e2)","Content-Container (e1, e2)"
parade,penguins,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
ethanol,factories,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
drilling,chemicals,Other,Other
information,press release,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
chain,islands,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
investigations,evidence,Other,"Message-Topic (e1, e2)"
damage,misuse,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
fruit,seeds,"Content-Container (e1, e2)","Component-Whole (e1, e2)"
enjoyment,programming,Other,"Cause-Effect (e2, e1)"
technique,combination,Other,Other
bones,foot,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
migrations,deprivation,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
accident,impact,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
aria,composer,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
contents,carafe,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
stem,tree,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
time,machine,"Component-Whole (e1, e2)",Other
production,playwright,"Product-Producer (e1, e2)",Other
philosopher,writings,"Component-Whole (e1, e2)","Product-Producer (e2, e1)"
tableau,room,"Entity-Destination (e1, e2)","Content-Container (e1, e2)"
strings,device,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
cases,term,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
mix,pans,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
lungs,ferrets,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
gerbil,threat,"Entity-Destination (e1, e2)","Entity-Origin (e1, e2)"
airstrike,explosions,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
keel,ship,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
Barrages,energy,Other,Other
protocol,implementation,"Message-Topic (e1, e2)",Other
conflict,wastewater,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
report,commission,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
car,engine,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
driver,keys,Other,"Instrument-Agency (e2, e1)"
book,phases,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
spam,clients,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
plum,syrup,"Component-Whole (e1, e2)","Entity-Origin (e2, e1)"
news,statement,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
damage,tornado,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
friend,surfer,Other,"Entity-Destination (e1, e2)"
song,hypocrisy,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
horse,hoof,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
downturn,people,"Cause-Effect (e1, e2)",Other
motives,trial,"Message-Topic (e1, e2)","Entity-Destination (e1, e2)"
compeers,profession,Other,Other
citizen,battles,"Entity-Destination (e1, e2)",Other
topics,song,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
rookery,seals,Other,"Member-Collection (e2, e1)"
novel,forces,Other,Other
car,river,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
news,rights issues,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
team,ram,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
builder,cenotaphs,"Product-Producer (e1, e2)","Product-Producer (e2, e1)"
song,band,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
head,political party,"Component-Whole (e1, e2)","Member-Collection (e1, e2)"
leaves,street,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
book,catalogues,"Content-Container (e1, e2)","Member-Collection (e2, e1)"
man,water,"Cause-Effect (e2, e1)",Other
story,existence,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
brain,jar,"Content-Container (e1, e2)","Content-Container (e1, e2)"
stand,flamingos,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
hair loss,stress,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
nation,mourning,"Entity-Destination (e1, e2)",Other
film,cadaver,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
litter,litter box,"Content-Container (e1, e2)","Content-Container (e1, e2)"
news,agreement,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
stem,plant,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
grandstand,concourse,"Component-Whole (e1, e2)",Other
spreads,book,"Component-Whole (e1, e2)","Entity-Origin (e1, e2)"
heroes,movies,Other,"Entity-Origin (e1, e2)"
petition,governor,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
team,jungle,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
staff,people,Other,"Entity-Destination (e1, e2)"
grandfather,story,"Message-Topic (e1, e2)","Product-Producer (e2, e1)"
running,shoes,Other,Other
pilot,kit,"Component-Whole (e1, e2)","Instrument-Agency (e2, e1)"
church,steps,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
activation,source,Other,Other
labor,building,Other,"Product-Producer (e2, e1)"
report,agreement,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
heart,artist,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
leather,craftsman,Other,Other
article,difficulties,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
writer,series,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
cartload,firewood,"Component-Whole (e1, e2)",Other
colors,dispersion,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
discussion,violence,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
handset,manufacturer,"Product-Producer (e1, e2)","Product-Producer (e1, e2)"
position,canon law,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
clutch,conferences,Other,"Member-Collection (e2, e1)"
photo,frame,"Component-Whole (e1, e2)","Content-Container (e1, e2)"
finger,can,"Content-Container (e2, e1)","Content-Container (e1, e2)"
shipments,stock,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
doctor,sphygmomanometer,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
wheelchairs,people,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
troupe,dancers,"Member-Collection (e2, e1)","Member-Collection (e2, e1)"
citizen,corporation,"Member-Collection (e1, e2)","Member-Collection (e1, e2)"
hostname,server,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
shell,rod,"Content-Container (e1, e2)","Content-Container (e2, e1)"
meeting,hour,Other,Other
love,sculpture,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
articles,promotion,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
meeting,trade,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
poem,worker,"Product-Producer (e2, e1)","Product-Producer (e1, e2)"
phalanx,lawyers,Other,"Member-Collection (e2, e1)"
drama series,team,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
liberties,laws,Other,"Message-Topic (e2, e1)"
depression,unemployment,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
huddle,tents,"Component-Whole (e1, e2)","Member-Collection (e2, e1)"
Stone,grinding,Other,Other
coffin,funeral,"Entity-Destination (e1, e2)",Other
controversy,tickets,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
excursions,harbour,"Entity-Origin (e1, e2)",Other
coffee,cup,"Content-Container (e1, e2)","Content-Container (e1, e2)"
document,diversity,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
opening,cask,"Component-Whole (e1, e2)",Other
family,taxi,"Entity-Destination (e1, e2)","Instrument-Agency (e2, e1)"
song,MP player,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
body,cart,"Content-Container (e1, e2)","Content-Container (e1, e2)"
toy,trash,"Content-Container (e2, e1)","Content-Container (e2, e1)"
transport,mechanism,Other,Other
souffle,clouds,"Component-Whole (e1, e2)",Other
firm,accountants,Other,"Member-Collection (e2, e1)"
Bone,cell,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
money,envelopes,"Content-Container (e1, e2)","Content-Container (e1, e2)"
cluster,computers,"Component-Whole (e1, e2)","Member-Collection (e2, e1)"
question,announcement,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
Relationships,series,"Message-Topic (e1, e2)","Message-Topic (e2, e1)"
fuel,bunker,"Content-Container (e1, e2)","Content-Container (e1, e2)"
phagocytes,nanoparticles,"Entity-Destination (e1, e2)",Other
collision,crashes,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
electricians,ohmmeters,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
horde,men,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
earphones,cord,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
pain,strains,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
yeast,beer,"Component-Whole (e1, e2)",Other
boat,harbour,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
player,string,"Instrument-Agency (e2, e1)","Instrument-Agency (e2, e1)"
anecdotes,workers,"Message-Topic (e1, e2)","Product-Producer (e1, e2)"
movie,sheep,Other,"Message-Topic (e1, e2)"
brains,dish,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
storm,town,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
stories,book,"Content-Container (e1, e2)","Member-Collection (e1, e2)"
committee,commission,"Instrument-Agency (e1, e2)",Other
ribs,umbrella,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
blazes,trail,"Message-Topic (e1, e2)",Other
damage,bullet,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
musician,album,"Product-Producer (e2, e1)","Product-Producer (e2, e1)"
files,software,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
swans,regions,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
Neuralgia,headache,"Cause-Effect (e2, e1)","Cause-Effect (e1, e2)"
writer,storyboard,Other,"Product-Producer (e2, e1)"
Bibliometrics,research evaluation,"Instrument-Agency (e1, e2)",Other
concerns,cases,"Message-Topic (e1, e2)",Other
brick,mason,Other,"Instrument-Agency (e1, e2)"
damage,earthquake,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
feet,floor,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
aunt,care,"Entity-Destination (e1, e2)",Other
turtles,shells,"Component-Whole (e1, e2)","Entity-Origin (e1, e2)"
dishwasher,controls,"Component-Whole (e2, e1)","Component-Whole (e2, e1)"
student,solution,Other,"Product-Producer (e2, e1)"
arm,patient,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
first part,techniques,"Message-Topic (e1, e2)","Message-Topic (e1, e2)"
flower,cord,"Component-Whole (e2, e1)",Other
evacuation,war,"Entity-Origin (e1, e2)",Other
pencil,point,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
cadets,training,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
chunks,airplane,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
strings,cello,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
text,material,Other,Other
couple,waters,Other,Other
Air,mouthpiece,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
associations,receiverships,"Entity-Destination (e1, e2)","Instrument-Agency (e2, e1)"
crisis,boss,"Message-Topic (e1, e2)",Other
scholarship,student,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
misinterpretation,word,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
damage,bombing,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
death,tsunami,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
satisfaction,playing,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
backpage,news paper,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
team,team,Other,Other
Potato,starch,"Component-Whole (e2, e1)","Entity-Origin (e2, e1)"
leakage,person,"Cause-Effect (e2, e1)","Cause-Effect (e2, e1)"
investments,century,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
particle,bath,"Entity-Origin (e1, e2)","Entity-Origin (e1, e2)"
bottle,water,"Content-Container (e1, e2)","Content-Container (e2, e1)"
lane,road,"Component-Whole (e1, e2)","Component-Whole (e1, e2)"
industries,economies,"Entity-Destination (e1, e2)","Entity-Destination (e1, e2)"
congregation,plovers,"Member-Collection (e1, e2)","Member-Collection (e2, e1)"
sensor,winding,"Component-Whole (e1, e2)","Component-Whole (e2, e1)"
microcracks,stress,"Cause-Effect (e1, e2)","Cause-Effect (e1, e2)"
body,coffin,"Content-Container (e1, e2)","Entity-Destination (e1, e2)"
