sentence,relation,label,entity1,entity2,sentence_without_tags,split
She marked the <e1>handle</e1> of the <e2>mop</e2> used for washing with red duct tape to prevent mixing up mops when working.,"Component-Whole (e1, e2)",2,handle,mop,She marked the handle of the mop used for washing with red duct tape to prevent mixing up mops when working.,train
"Wealth is nominally a <e1>superfluity</e1> of <e2>goods</e2> required for subsistence, but the character of these goods varies with the use of wealth.",Other,18,superfluity,goods,"Wealth is nominally a superfluity of goods required for subsistence, but the character of these goods varies with the use of wealth.",train
"The <e1>apartment</e1> comprises of two <e2>bedrooms</e2> with fitted wardrobes, two bathrooms with tub, a spacious kitchen and lounge/dining room...","Component-Whole (e2, e1)",3,apartment,bedrooms,"The apartment comprises of two bedrooms with fitted wardrobes, two bathrooms with tub, a spacious kitchen and lounge/dining room...",train
That <e1>cooperation</e1> has been explicitly described in the <e2>press</e2> in recent days.,"Message-Topic (e2, e1)",15,cooperation,press,That cooperation has been explicitly described in the press in recent days.,train
"Freedman makes a thorough appraisal of the <e1>statistical methods</e1> in these <e2>papers</e2>, and in a variety of other examples.","Message-Topic (e2, e1)",15,statistical methods,papers,"Freedman makes a thorough appraisal of the statistical methods in these papers, and in a variety of other examples.",train
We leave the <e1>bail</e1> of the <e2>reel</e2> open and place your the rod in a double mounted set up as shown on the facing page.,"Component-Whole (e1, e2)",2,bail,reel,We leave the bail of the reel open and place your the rod in a double mounted set up as shown on the facing page.,train
Some <e1>researchers</e1> watered the plant with <e2>luciferin</e2>.,"Instrument-Agency (e2, e1)",11,researchers,luciferin,Some researchers watered the plant with luciferin.,train
"Sam Houghton, a five-year old <e1>boy</e1> from Buxton, Derbyshire, patented an invention after coming up with an <e2>idea</e2> for a labour-saving broom to help his father sweep up leaves.","Product-Producer (e2, e1)",17,boy,idea,"Sam Houghton, a five-year old boy from Buxton, Derbyshire, patented an invention after coming up with an idea for a labour-saving broom to help his father sweep up leaves.",train
"He founded the Emmaus Program, an annual <e1>convocation</e1> of diocesan <e2>clergy</e2> for their continuing education and spiritual formation, in 1983.",Other,18,convocation,clergy,"He founded the Emmaus Program, an annual convocation of diocesan clergy for their continuing education and spiritual formation, in 1983.",train
My <e1>mint julep</e1> was in a <e2>glass</e2> I still own.,"Content-Container (e1, e2)",4,mint julep,glass,My mint julep was in a glass I still own.,train
"Normally, the <e1>bone marrow</e1> produces <e2>stem cells</e2> (immature cells) that develop into mature blood cells.","Product-Producer (e2, e1)",17,bone marrow,stem cells,"Normally, the bone marrow produces stem cells (immature cells) that develop into mature blood cells.",train
Here is another <e1>work</e1> from the pen of a vital American <e2>composer</e2>.,"Product-Producer (e1, e2)",16,work,composer,Here is another work from the pen of a vital American composer.,train
The <e1>procession</e1> formed the subject of the <e2>bas-reliefs</e2> which embellished the outside of the temple of the Parthenon.,"Message-Topic (e2, e1)",15,procession,bas-reliefs,The procession formed the subject of the bas-reliefs which embellished the outside of the temple of the Parthenon.,train
A <e1>suitcase</e1> with his <e2>things</e2> in it was on the doorstep.,"Content-Container (e2, e1)",5,suitcase,things,A suitcase with his things in it was on the doorstep.,train
The <e1>singer</e1>'s <e2>technique</e2> facilitates the message.,"Instrument-Agency (e2, e1)",11,singer,technique,The singer's technique facilitates the message.,train
These <e1>changes</e1> have been reflected in the general <e2>policies</e2> and approach of the Forestry Commission.,"Message-Topic (e2, e1)",15,changes,policies,These changes have been reflected in the general policies and approach of the Forestry Commission.,train
"In this study, we examined the suspension of solid <e1>particles</e1> in a <e2>vessel</e2> equipped with dual traditional impellers.","Content-Container (e1, e2)",4,particles,vessel,"In this study, we examined the suspension of solid particles in a vessel equipped with dual traditional impellers.",train
The <e1>programme</e1> reported a <e2>sexual relationship</e2> between the two that began in the summer of 2008.,"Message-Topic (e1, e2)",14,programme,sexual relationship,The programme reported a sexual relationship between the two that began in the summer of 2008.,train
In the <e1>background</e1> is a depiction of a <e2>city</e2> with angels that along a path that leads towards it.,Other,18,background,city,In the background is a depiction of a city with angels that along a path that leads towards it.,train
It is typical of the distinguished <e1>portraits</e1> made by professionals and <e2>amateurs</e2> in the late 19th century.,"Product-Producer (e1, e2)",16,portraits,amateurs,It is typical of the distinguished portraits made by professionals and amateurs in the late 19th century.,train
"Then after that the <e1>angels</e1> chopped him into millions of <e2>pieces</e2>, but still he glittered and hummed.","Product-Producer (e2, e1)",17,angels,pieces,"Then after that the angels chopped him into millions of pieces, but still he glittered and hummed.",train
"This paralyzed him so much that when trying to lay back on the bed, he fell on his back and hit his head on the <e1>bed</e1> <e2>post</e2>.","Component-Whole (e2, e1)",3,bed,post,"This paralyzed him so much that when trying to lay back on the bed, he fell on his back and hit his head on the bed post.",train
The <e1>pollution</e1> from animal <e2>factories</e2> is also destroying parts of the world's oceans.,"Cause-Effect (e2, e1)",1,pollution,factories,The pollution from animal factories is also destroying parts of the world's oceans.,train
The student took the <e1>note</e1> to the <e2>class room</e2>.,"Entity-Destination (e1, e2)",6,note,class room,The student took the note to the class room.,train
This is the best <e1>armor</e1> for <e2>knights</e2>.,"Instrument-Agency (e1, e2)",10,armor,knights,This is the best armor for knights.,train
"Short-term side effects are uncommon, but include <e1>headache</e1> from <e2>eyestrain</e2>, nausea, agitation or nervousness.","Cause-Effect (e2, e1)",1,headache,eyestrain,"Short-term side effects are uncommon, but include headache from eyestrain, nausea, agitation or nervousness.",train
"After <e1>runners</e1> carried the torch through the <e2>streets</e2> of North Platte, the torch was again handed off to a Pony Express rider, who continued down the trail.",Other,18,runners,streets,"After runners carried the torch through the streets of North Platte, the torch was again handed off to a Pony Express rider, who continued down the trail.",train
They have exported serious <e1>crime</e1> to previously blissful <e2>communities</e2>.,"Entity-Destination (e1, e2)",6,crime,communities,They have exported serious crime to previously blissful communities.,train
"He sealed the cut after making a <e1>cut</e1> of the stem with a clean, sharp <e2>blade</e2>.",Other,18,cut,blade,"He sealed the cut after making a cut of the stem with a clean, sharp blade.",train
Out current Secretary is gathering <e1>information</e1> from past <e2>presidents</e2> and committee chairs.,"Entity-Origin (e1, e2)",8,information,presidents,Out current Secretary is gathering information from past presidents and committee chairs.,train
"The <e1>joey</e1> leaves the <e2>pouch</e2> for short periods in about nine months of age, but continues to be suckled until it is about 18 months of age.","Entity-Origin (e1, e2)",8,joey,pouch,"The joey leaves the pouch for short periods in about nine months of age, but continues to be suckled until it is about 18 months of age.",train
"In particular, a <e1>ratpack</e1> of <e2>colonels</e2> in arrested development are the worst possible people to handle relations with Latin countries.","Member-Collection (e2, e1)",13,ratpack,colonels,"In particular, a ratpack of colonels in arrested development are the worst possible people to handle relations with Latin countries.",train
"<e1>Garbage</e1> is rapidly becoming the topic of <e2>discussion</e2> in business meetings, political conventions, and even at the dinner table.","Message-Topic (e2, e1)",15,Garbage,discussion,"Garbage is rapidly becoming the topic of discussion in business meetings, political conventions, and even at the dinner table.",train
"An overdose of <e1>lime</e1> <e2>juice</e2> with salt also acts as an excellent purgative without any side effects, thereby giving relief in constipation.","Entity-Origin (e2, e1)",9,lime,juice,"An overdose of lime juice with salt also acts as an excellent purgative without any side effects, thereby giving relief in constipation.",train
"<e1>Education</e1> in early African societies included such things as <e2>artistic performances</e2>, ceremonies, games, festivals, dancing, singing, and drawing.","Component-Whole (e2, e1)",3,Education,artistic performances,"Education in early African societies included such things as artistic performances, ceremonies, games, festivals, dancing, singing, and drawing.",train
A federal jury has seen video of a former Louisiana congressman accepting a <e1>suitcase</e1> filled with $100000 in <e2>cash</e2> outside a northern Virginia hotel.,"Content-Container (e2, e1)",5,suitcase,cash,A federal jury has seen video of a former Louisiana congressman accepting a suitcase filled with $100000 in cash outside a northern Virginia hotel.,train
"The <e1>war</e1> was caused by the expansionist <e2>desires</e2> of Hitler, Mussolini and the Japanese imperialists.","Cause-Effect (e2, e1)",1,war,desires,"The war was caused by the expansionist desires of Hitler, Mussolini and the Japanese imperialists.",train
Common ravens are one of only a few <e1>species</e1> who make their own <e2>toys</e2>.,"Product-Producer (e2, e1)",17,species,toys,Common ravens are one of only a few species who make their own toys.,train
<e1>Mental disorders</e1> have often been featured in <e2>art</e2> and literature.,"Message-Topic (e2, e1)",15,Mental disorders,art,Mental disorders have often been featured in art and literature.,train
"The Museum also has a subject gateway that contains over 2,500 <e1>records</e1> relevant to <e2>maritime history</e2>.","Message-Topic (e1, e2)",14,records,maritime history,"The Museum also has a subject gateway that contains over 2,500 records relevant to maritime history.",train
Sixty five million years ago an <e1>asteroid</e1> caused the <e2>extinction</e2> of the dinosaurs.,"Cause-Effect (e1, e2)",0,asteroid,extinction,Sixty five million years ago an asteroid caused the extinction of the dinosaurs.,train
The <e1>scandals</e1> are caused by the young female <e2>celebs</e2> who 'inadvertently' reveal glimpses of their naked faces as they get out of limousines.,"Cause-Effect (e2, e1)",1,scandals,celebs,The scandals are caused by the young female celebs who 'inadvertently' reveal glimpses of their naked faces as they get out of limousines.,train
We used the scope to leisurely study the <e1>kaleidoscope</e1> of whirling and nectaring <e2>butterflies</e2>.,"Member-Collection (e2, e1)",13,kaleidoscope,butterflies,We used the scope to leisurely study the kaleidoscope of whirling and nectaring butterflies.,train
"White <e1>gasoline</e1> was put inside a metal <e2>canister</e2> with a smooth, flat base, and lit to heat up the metal.","Entity-Destination (e1, e2)",6,gasoline,canister,"White gasoline was put inside a metal canister with a smooth, flat base, and lit to heat up the metal.",train
The <e1>kidneys</e1> were placed into wild-type <e2>hosts</e2>.,"Entity-Destination (e1, e2)",6,kidneys,hosts,The kidneys were placed into wild-type hosts.,train
A <e1>dog</e1> loose on the carriageway caused a five-vehicle <e2>crash</e2> on the M25 on Wednesday morning.,"Cause-Effect (e1, e2)",0,dog,crash,A dog loose on the carriageway caused a five-vehicle crash on the M25 on Wednesday morning.,train
The <e1>letter</e1> was from a <e2>woman</e2> who explained to me every single detail of a three month affair she had with my husband.,"Entity-Origin (e1, e2)",8,letter,woman,The letter was from a woman who explained to me every single detail of a three month affair she had with my husband.,train
Colonial <e1>families</e1> of the United States descended from the <e2>immigrants</e2> who arrived before 1700.,"Entity-Origin (e1, e2)",8,families,immigrants,Colonial families of the United States descended from the immigrants who arrived before 1700.,train
The second biggest problem for <e1>dogs</e1> and their <e2>teeth</e2> is that hard chews can break the teeth.,"Component-Whole (e2, e1)",3,dogs,teeth,The second biggest problem for dogs and their teeth is that hard chews can break the teeth.,train
The <e1>tardiness</e1> however has been caused by the <e2>arrival</e2> of my old man; who in true Bloodworth fashion has had me walking everywhere.,"Cause-Effect (e2, e1)",1,tardiness,arrival,The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.,train
Public key encryption is a <e1>technique</e1> that uses a pair of asymmetric <e2>keys</e2> for encryption and decryption.,"Component-Whole (e2, e1)",3,technique,keys,Public key encryption is a technique that uses a pair of asymmetric keys for encryption and decryption.,train
A <e1>carpenter</e1> fell into an elevator <e2>shaft</e2>.,"Entity-Destination (e1, e2)",6,carpenter,shaft,A carpenter fell into an elevator shaft.,train
"Josie Cormier, succumbed to peer pressure and now hangs out with the popular <e1>crowd</e1> that often instigates the <e2>harassment</e2>.","Cause-Effect (e1, e2)",0,crowd,harassment,"Josie Cormier, succumbed to peer pressure and now hangs out with the popular crowd that often instigates the harassment.",train
"The <e1>deficits</e1> caused by the fiscal stimulus <e2>package</e2> end in 2011 and will help to sustain a fragile recovery in 2010, the deficits projected for the longer term are a threat to our economic future.","Cause-Effect (e2, e1)",1,deficits,package,"The deficits caused by the fiscal stimulus package end in 2011 and will help to sustain a fragile recovery in 2010, the deficits projected for the longer term are a threat to our economic future.",train
Unlike most of the annual showers the <e1>antihelion radiant</e1> is produced by <e2>debris</e2> from unknown sources orbiting in a direct motion like the earth.,Other,18,antihelion radiant,debris,Unlike most of the annual showers the antihelion radiant is produced by debris from unknown sources orbiting in a direct motion like the earth.,train
An Israeli minister sent <e1>troops</e1> into the <e2>schools</e2> to boost conscription.,"Entity-Destination (e1, e2)",6,troops,schools,An Israeli minister sent troops into the schools to boost conscription.,train
"I talk knowledgeably of cord-feet with lumberjacks, point out a <e1>doylt</e1> of <e2>pigs</e2>, and bandy verse forms with poets.","Member-Collection (e2, e1)",13,doylt,pigs,"I talk knowledgeably of cord-feet with lumberjacks, point out a doylt of pigs, and bandy verse forms with poets.",train
Blum turned whistle-blower after becoming morally nauseated at the <e1>bagful</e1> of <e2>lies</e2> that launched the country on its disastrous adventure in Vietnam.,"Member-Collection (e2, e1)",13,bagful,lies,Blum turned whistle-blower after becoming morally nauseated at the bagful of lies that launched the country on its disastrous adventure in Vietnam.,train
"As a <e1>fraternity</e1> of <e2>adults</e2> we have a right to question the GM, and should expect a reasonable response.","Member-Collection (e2, e1)",13,fraternity,adults,"As a fraternity of adults we have a right to question the GM, and should expect a reasonable response.",train
"The study found that people who took the <e1>combination</e1> of cholinesterase <e2>inhibitors</e2> (Aricept, Razadyne, or Exelon) and Memantine, showed a significantly slower rate of cognitve decline than those who took only a cholinesterase inhibitor or no drug.",Other,18,combination,inhibitors,"The study found that people who took the combination of cholinesterase inhibitors (Aricept, Razadyne, or Exelon) and Memantine, showed a significantly slower rate of cognitve decline than those who took only a cholinesterase inhibitor or no drug.",train
This <e1>book</e1> supplies us with a good deal of <e2>material</e2> for his biography.,"Message-Topic (e1, e2)",14,book,material,This book supplies us with a good deal of material for his biography.,train
A <e1>raindrop</e1> keeps the same <e2>shape</e2> to a reasonable approximation all the time it is falling.,Other,18,raindrop,shape,A raindrop keeps the same shape to a reasonable approximation all the time it is falling.,train
"Two days later, the salt water <e1>fish</e1> was put into a fresh water <e2>pound</e2>.","Entity-Destination (e1, e2)",6,fish,pound,"Two days later, the salt water fish was put into a fresh water pound.",train
The exhibition comprises original <e1>drawings</e1> featuring famous <e2>landmarks</e2> between Plymouth and London.,"Message-Topic (e1, e2)",14,drawings,landmarks,The exhibition comprises original drawings featuring famous landmarks between Plymouth and London.,train
The stress of electoral defeats exposed Mr. Hoyte to opposite pressures within the <e1>constituency</e1> of his <e2>supporters</e2>.,"Member-Collection (e2, e1)",13,constituency,supporters,The stress of electoral defeats exposed Mr. Hoyte to opposite pressures within the constituency of his supporters.,train
The ethmoid forms the medial portions of the orbits and the <e1>roof</e1> of the <e2>nasal cavity</e2>.,"Component-Whole (e1, e2)",2,roof,nasal cavity,The ethmoid forms the medial portions of the orbits and the roof of the nasal cavity.,train
The <e1>present</e1> is constructed from the <e2>past</e2>.,"Entity-Origin (e1, e2)",8,present,past,The present is constructed from the past.,train
"During play, I ingested a large <e1>sloth</e1> of Gummi <e2>bears</e2> in my efforts to help ward off a potential Jon Lee ""10-0"" train.","Member-Collection (e2, e1)",13,sloth,bears,"During play, I ingested a large sloth of Gummi bears in my efforts to help ward off a potential Jon Lee ""10-0"" train.",train
Kidd passed Jackson on the career <e1>assists</e1> <e2>list</e2> with an alley-oop pass to Rodrigue Beaubois with 10:53 left in the third quarter.,"Message-Topic (e2, e1)",15,assists,list,Kidd passed Jackson on the career assists list with an alley-oop pass to Rodrigue Beaubois with 10:53 left in the third quarter.,train
His promised bride was already in great <e1>peril</e1> from the twisted love of an insane <e2>suitor</e2>.,Other,18,peril,suitor,His promised bride was already in great peril from the twisted love of an insane suitor.,train
"The political <e1>unity</e1> of the Iroquois was the source of their <e2>power</e2>, but it was by no means perfect.","Cause-Effect (e1, e2)",0,unity,power,"The political unity of the Iroquois was the source of their power, but it was by no means perfect.",train
An unnamed <e1>lifeguard</e1> was pushed into the <e2>pool</e2>.,"Entity-Destination (e1, e2)",6,lifeguard,pool,An unnamed lifeguard was pushed into the pool.,train
"This <e1>course</e1> is part of the master of veterinary public health (MVPH) <e2>programme</e2> at Faculty of Life Sciences, University of Copenhagen, Denmark.","Component-Whole (e1, e2)",2,course,programme,"This course is part of the master of veterinary public health (MVPH) programme at Faculty of Life Sciences, University of Copenhagen, Denmark.",train
The <e1>company</e1> uses a policy <e2>assertion</e2> to convey a condition under which they offer a Web service.,"Product-Producer (e2, e1)",17,company,assertion,The company uses a policy assertion to convey a condition under which they offer a Web service.,train
National Geographic videos include several tapes dealing with a <e1>shrewdness</e1> of <e2>apes</e2> that dwells in Zaire.,"Member-Collection (e2, e1)",13,shrewdness,apes,National Geographic videos include several tapes dealing with a shrewdness of apes that dwells in Zaire.,train
The purple <e1>puppet</e1> was in a <e2>crate</e2> being shipped from the UK to Australia.,"Content-Container (e1, e2)",4,puppet,crate,The purple puppet was in a crate being shipped from the UK to Australia.,train
The <e1>defendants</e1> took advantage of Astor's diminished mental <e2>capacity</e2> to carry them out.,Other,18,defendants,capacity,The defendants took advantage of Astor's diminished mental capacity to carry them out.,train
The <e1>spiciness</e1> comes from small capsaicin <e2>glands</e2> located between the pepper's outside skin and the white ribs inside.,"Cause-Effect (e2, e1)",1,spiciness,glands,The spiciness comes from small capsaicin glands located between the pepper's outside skin and the white ribs inside.,train
